batch,salinity,tco2,ta,phos,sil
163,33.362,2039.43,2215.34,0,3.9
181,33.582,2030.77,2222.71,0.19,3.9
210,33.231,2046.37,2220.62,0.56,3.9
206,33.423,2021.55,2193.88,0.49,1.7
211,33.272,2057.02,2218.4,0.76,6.9
212,33.341,2023.82,2193.54,0.43,2.7
213,33.232,2024.67,2203.56,0.51,4.3
214,33.075,2014.53,2200.67,0.57,4
215,32.942,2024.29,2191.3,0.21,3.4
216,32.899,2029.63,2188.02,0.6,3.4
217,32.899,2047.21,2212.31,0.48,7.9
218,33.111,2065.96,2197.08,0.57,9.6
219,32.71,2029.34,2183.64,0.46,7.4
220,32.569,2031.94,2148.41,0.57,6.7
221,33.14,2051.82,2183.42,0.7,9.3
222,33.14,2025.77,2215.63,0.31,3.2
223,32.995,2053.26,2225.91,0.59,9.9
224,33.08,2029.56,2235.5,0.39,4.6
225,33.11,2056.41,2215.8,0.38,5.1
226,32.743,2033.09,2209.87,0.3,5.5
